Classe,formula
Haletos com Metais de Transição,Cu2Cl2
Haletos com Metais de Transição,Cu2Cl2H4N6
Haletos com Metais de Transição,Cu2Cl2P4S3
Haletos com Metais de Transição,Cu2Cl2S3Sb4
Haletos com Metais de Transição,Cu2Cl6
Haletos com Metais de Transição,Cu2F2P4Te3
Haletos com Metais de Transição,Cu2F2S2
Haletos com Metais de Transição,Cu2F4
Haletos com Metais de Transição,Cu2Hg2Br2Se2
Haletos com Metais de Transição,Cu2Hg2Cl2S2
Haletos com Metais de Transição,Cu2Hg2F2Te2
Haletos com Metais de Transição,Cu2I2N2
Haletos com Metais de Transição,Cu2I2O2
Haletos com Metais de Transição,Cu2I2P4Te3
Haletos com Metais de Transição,Cu2I2S2Te
Haletos com Metais de Transição,Cu2I2S4
Haletos com Metais de Transição,Cu2I2Sb4Se3
Haletos com Metais de Transição,Cu2I2Se
Haletos com Metais de Transição,Cu2I2Se2
Haletos com Metais de Transição,Cu2I2Te2
Haletos com Metais de Transição,Cu2I6
Haletos com Metais de Transição,Cu2Ir2Br4O6
Haletos com Metais de Transição,Cu2IrBr2I2S
Haletos com Metais de Transição,Cu2ReIO2S
Haletos com Metais de Transição,Cu3Br5SSe
Haletos com Metais de Transição,Cu4Br4H4O4
Haletos com Metais de Transição,Cu4Br4H4S4
Haletos com Metais de Transição,Cu4Br4O4
Haletos com Metais de Transição,Cu4Cl4Se4
Haletos com Metais de Transição,Cu4F4I4S4
Haletos com Metais de Transição,Cu4F8S4
Haletos com Metais de Transição,Cu4I4S4
Haletos com Metais de Transição,Cu5SnAs2Cl5I3S4
Haletos com Metais de Transição,Cu6Br2Cl6S3Se
Haletos com Metais de Transição,CuBr
Haletos com Metais de Transição,CuC12F4O2
Haletos com Metais de Transição,CuCl2S2Sb
Haletos com Metais de Transição,CuClSSe
Haletos com Metais de Transição,CuFeCl3Ge2HO6
Haletos com Metais de Transição,CuFeITe
Haletos com Metais de Transição,CuGa2BrIS3
Haletos com Metais de Transição,CuGa3Cl4S2
Haletos com Metais de Transição,CuI2SbSe2
